TripId	Empcode	NodalName
203874	L0831437	Avadi Kovarthanagiri Bus Stop
203763	M1150066	Chepauk Stadium Bus Stop
203810	M0948720	Velacherry 100 Ft Road
203867	N0452512	Thirunindravur Bus Stop
203880	E124170	Thirumullaivoyal Shiva Temple
203863	K0324358	Thirunindravur Bus Stop
203754	N0452417	Thiruverkadu Anbu Nagar Bus Stop
203863	M0137394	Thirunindravur Railway Station
203819	M0948690	Perambur Bus Stop
203882	N0351706	Thirumullaivoyal Manikandapuram bus stop
203871	M1049173	Avadi Ponnu Super Market
203803	M1049349	Meenambakkam Bus Stop
203841	M0339456	Vyasarpadi Bus Stop
203833	L0831936	Madhavaram MMC Bus Stop
203843	J0721945	Thiruvottriyur Raja Kadai Bus stop
203793	M0846798	Tambaram Camp Road
203757	M0137175	Anna Arch Bus Stop
203851	N0351449	Ayanavaram Noor Hotel
203775	M0847454	Kodambakkam Power House
203816	M0340282	Arasamaram Ramapuram
203784	M0239162	Mogappair 7H Bus Stop
203773	M1049407	Saidapet Jones Road
203864	M0949016	Thirunindravur Bus Stop
203890	M1049193	Nanganallur Bus Stop
203884	L1033709	Annanur Railway Station
203753	N0351434	Velappanchavadi Bus Stop
203821	N0351267	Perambur Bus Stop
203800	L0831328	Tambaram West Bus Stop
203860	M0137344	Ayanavaram Medavakkam Bus Stop
